_id,Season,AwayTeam,HomeTeam,MatchDate,Date,FTR,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,League,HomeResultScore,AwayResultScore,HDI,ADI,HGL5,AGL5,HTHF5,ATAF5,HDIL5,ADIL5,HTFL5,ATFL5,HT_PTS_HOME,HT_PTS_AWAY,HTSP,AT_PTS_AWAY,AT_PTS_HOME,ATSP,HTASG,ATASG,SGD
"ObjectId(""682b8a7d0b6a9f2c872ef706"")",2425,Nantes,Monaco,2025-02-15T00:00:00.000Z,15/02/2025,H,7,1,2.0,1.0,22.0,6.0,11.0,2.0,9.0,1.0,18.0,9.0,1.0,1.0,0.0,1.0,F1,3,0,5.0,30.0,14.0,6.0,12.0,6.0,55.0,45.0,7.0,6.0,39,9,48,15,30,45,38,20,18
"ObjectId(""682b8a7d0b6a9f2c872ef707"")",2425,Nantes,Reims,2025-02-02T00:00:00.000Z,02/02/2025,A,1,2,1.0,1.0,13.0,11.0,2.0,6.0,9.0,3.0,14.0,10.0,3.0,3.0,1.0,0.0,F1,0,3,40.0,15.0,4.0,6.0,3.0,3.0,50.0,30.0,3.0,4.0,16,31,47,15,30,45,17,20,-3
"ObjectId(""682b8a7d0b6a9f2c872ef708"")",2425,Nantes,Strasbourg,2024-10-27T00:00:00.000Z,27/10/2024,H,3,1,1.0,0.0,9.0,8.0,5.0,6.0,5.0,4.0,15.0,17.0,2.0,3.0,0.0,0.0,F1,3,0,10.0,15.0,7.0,4.0,8.0,5.0,50.0,55.0,6.0,3.0,35,8,43,15,30,45,31,20,11
"ObjectId(""682b8a7d0b6a9f2c872ef709"")",2425,Nantes,Le Havre,2025-03-30T00:00:00.000Z,30/03/2025,H,3,2,2.0,1.0,16.0,7.0,5.0,2.0,3.0,4.0,16.0,9.0,1.0,2.0,0.0,0.0,F1,3,0,5.0,10.0,4.0,5.0,1.0,5.0,65.0,70.0,4.0,6.0,11,38,49,15,30,45,15,20,-5
"ObjectId(""682b8a7d0b6a9f2c872ef70a"")",2425,Nantes,Auxerre,2025-05-10T00:00:00.000Z,10/05/2025,D,1,1,1.0,0.0,9.0,7.0,3.0,2.0,7.0,3.0,15.0,16.0,3.0,1.0,0.0,0.0,F1,1,1,15.0,5.0,6.0,6.0,6.0,3.0,50.0,105.0,6.0,5.0,27,18,45,15,30,45,24,20,4
"ObjectId(""682b8a7d0b6a9f2c872ef70b"")",2425,Nantes,Paris SG,2024-11-30T00:00:00.000Z,30/11/2024,D,1,1,1.0,1.0,24.0,5.0,10.0,2.0,9.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,F1,1,1,0.0,0.0,14.0,7.0,15.0,4.0,35.0,55.0,15.0,1.0,41,5,46,15,30,45,42,20,22
"ObjectId(""682b8a7d0b6a9f2c872ef70c"")",2425,Nantes,Lille,2025-01-04T00:00:00.000Z,04/01/2025,D,1,1,1.0,0.0,13.0,6.0,3.0,2.0,2.0,0.0,6.0,10.0,1.0,2.0,0.0,0.0,F1,1,1,5.0,10.0,10.0,5.0,11.0,1.0,60.0,40.0,9.0,4.0,34,10,44,15,30,45,29,20,9
"ObjectId(""682b8a7d0b6a9f2c872ef70d"")",2425,Nantes,Rennes,2025-04-18T00:00:00.000Z,18/04/2025,H,2,1,1.0,0.0,19.0,4.0,5.0,1.0,10.0,2.0,24.0,13.0,3.0,5.0,0.0,1.0,F1,3,0,15.0,50.0,3.0,7.0,6.0,6.0,65.0,70.0,6.0,6.0,28,22,50,15,30,45,25,20,5
"ObjectId(""682b8a7d0b6a9f2c872ef70e"")",2425,Nantes,Marseille,2025-03-02T00:00:00.000Z,02/03/2025,H,2,0,0.0,0.0,21.0,8.0,5.0,2.0,3.0,2.0,14.0,15.0,1.0,2.0,0.0,0.0,F1,3,0,5.0,10.0,15.0,6.0,11.0,5.0,75.0,75.0,9.0,7.0,31,13,44,15,30,45,37,20,17
"ObjectId(""682b8a7d0b6a9f2c872ef70f"")",2425,Nantes,Angers,2024-09-22T00:00:00.000Z,22/09/2024,D,1,1,1.0,1.0,4.0,9.0,1.0,3.0,3.0,6.0,13.0,16.0,1.0,4.0,0.0,0.0,F1,1,1,5.0,20.0,1.0,3.0,0.0,4.0,35.0,25.0,1.0,7.0,17,32,49,15,30,45,18,20,-2
"ObjectId(""682b8a7d0b6a9f2c872ef710"")",2425,Nantes,Lyon,2024-10-06T00:00:00.000Z,06/10/2024,H,2,0,1.0,0.0,17.0,11.0,6.0,6.0,6.0,9.0,10.0,5.0,1.0,2.0,0.0,0.0,F1,3,0,5.0,10.0,6.0,4.0,3.0,5.0,35.0,45.0,7.0,8.0,32,14,46,15,30,45,35,20,15
"ObjectId(""682b8a7d0b6a9f2c872ef712"")",2425,Nantes,Nice,2025-04-04T00:00:00.000Z,04/04/2025,A,1,2,1.0,2.0,21.0,8.0,9.0,4.0,11.0,2.0,9.0,14.0,1.0,1.0,0.0,0.0,F1,0,3,5.0,5.0,7.0,6.0,10.0,4.0,50.0,70.0,7.0,6.0,34,10,44,15,30,45,32,20,12
"ObjectId(""682b8a7d0b6a9f2c872ef713"")",2425,Nantes,Brest,2024-12-15T00:00:00.000Z,15/12/2024,H,4,1,2.0,0.0,13.0,16.0,8.0,7.0,0.0,5.0,10.0,14.0,3.0,3.0,0.0,0.0,F1,3,0,15.0,15.0,8.0,5.0,10.0,2.0,75.0,45.0,3.0,4.0,33,15,48,15,30,45,31,20,11
"ObjectId(""682b8a7d0b6a9f2c872ef6eb"")",2425,St Pauli,Ein Frankfurt,2025-05-11T00:00:00.000Z,11/05/2025,D,2,2,1.0,2.0,13.0,5.0,5.0,2.0,3.0,1.0,11.0,12.0,2.0,2.0,0.0,0.0,D1,1,1,10.0,10.0,10.0,5.0,9.0,5.0,35.0,60.0,8.0,6.0,10,7,17,6,6,12,12,7,5
"ObjectId(""682b8a7d0b6a9f2c872ef6ec"")",2425,St Pauli,Bayern Munich,2025-03-29T00:00:00.000Z,29/03/2025,H,3,2,1.0,1.0,19.0,10.0,9.0,4.0,5.0,4.0,13.0,4.0,3.0,0.0,0.0,0.0,D1,3,0,15.0,0.0,2.0,1.0,0.0,1.0,25.0,0.0,1.0,4.0,10,4,14,6,6,12,12,7,5
"ObjectId(""682b8a7d0b6a9f2c872ef6ed"")",2425,St Pauli,Werder Bremen,2025-04-27T00:00:00.000Z,27/04/2025,D,0,0,0.0,0.0,11.0,10.0,2.0,4.0,1.0,3.0,9.0,16.0,2.0,3.0,0.0,1.0,D1,1,1,10.0,40.0,6.0,5.0,6.0,4.0,45.0,20.0,12.0,8.0,8,8,16,6,6,12,6,7,-1
"ObjectId(""682b8a7d0b6a9f2c872ef6ee"")",2425,St Pauli,Holstein Kiel,2025-04-12T00:00:00.000Z,12/04/2025,A,1,2,1.0,1.0,6.0,14.0,2.0,6.0,3.0,3.0,15.0,11.0,3.0,4.0,0.0,0.0,D1,0,3,15.0,20.0,2.0,3.0,1.0,1.0,50.0,0.0,5.0,5.0,4,10,14,6,6,12,8,7,1
"ObjectId(""682b8a7d0b6a9f2c872ef6db"")",2425,Dortmund,Leverkusen,2025-05-11T00:00:00.000Z,11/05/2025,A,2,4,1.0,2.0,19.0,9.0,10.0,5.0,12.0,0.0,7.0,8.0,0.0,2.0,0.0,0.0,D1,0,3,0.0,10.0,5.0,11.0,7.0,10.0,30.0,30.0,9.0,13.0,7,7,14,13,4,17,7,15,-8
"ObjectId(""682b8a7d0b6a9f2c872ef6df"")",2425,Dortmund,Bayern Munich,2025-04-12T00:00:00.000Z,12/04/2025,D,2,2,0.0,0.0,28.0,11.0,11.0,3.0,6.0,5.0,8.0,5.0,0.0,0.0,0.0,0.0,D1,1,1,0.0,0.0,5.0,6.0,3.0,6.0,40.0,25.0,7.0,9.0,10,4,14,13,4,17,12,15,-3
"ObjectId(""682b8a7d0b6a9f2c872ef6e1"")",2425,Dortmund,RB Leipzig,2025-03-15T00:00:00.000Z,15/03/2025,H,2,0,1.0,0.0,15.0,25.0,5.0,9.0,3.0,12.0,14.0,10.0,3.0,3.0,0.0,0.0,D1,3,0,15.0,15.0,1.0,2.0,0.0,3.0,5.0,10.0,1.0,3.0,8,5,13,13,4,17,10,15,-5
"ObjectId(""682b8a7d0b6a9f2c872ef6e2"")",2425,Dortmund,Hoffenheim,2025-04-26T00:00:00.000Z,26/04/2025,A,2,3,0.0,1.0,11.0,16.0,3.0,8.0,2.0,5.0,17.0,9.0,5.0,1.0,0.0,0.0,D1,0,3,25.0,5.0,4.0,8.0,5.0,7.0,35.0,25.0,4.0,10.0,5,5,10,13,4,17,6,15,-9
"ObjectId(""682b8a7d0b6a9f2c872ef6e4"")",2425,Dortmund,Freiburg,2025-04-05T00:00:00.000Z,05/04/2025,A,1,4,0.0,1.0,12.0,18.0,3.0,7.0,3.0,4.0,8.0,6.0,1.0,0.0,0.0,0.0,D1,0,3,5.0,0.0,1.0,2.0,1.0,3.0,15.0,25.0,3.0,6.0,5,8,13,13,4,17,7,15,-8
